app,policy_area,metric,period,value
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2024Q1,"14,400,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2024Q2,"9,700,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2024Q3,"7,100,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2024Q4,"6,200,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2025Q1,"4,600,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2025Q2,"5,000,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2025Q3,"6,000,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2025Q4,"9,900,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2017Q4,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q1,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q2,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q3,"9,000,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q4,"7,200,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q1,"5,800,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q2,"6,900,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q3,"11,400,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q4,"13,300,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q1,"8,500,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q2,"9,400,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q3,"12,400,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q4,"5,300,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2021Q1,"5,000,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2017Q4,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2018Q1,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2018Q2,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2018Q3,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2018Q4,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2019Q1,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2019Q2,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2019Q3,N/A
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2019Q4,"1,600,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2020Q1,"4,700,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2020Q2,"4,000,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2020Q3,"4,000,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2020Q4,"6,400,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2021Q1,"9,800,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2021Q2,"6,200,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2021Q3,"2,000,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2021Q4,"1,600,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2022Q1,"2,500,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2022Q2,"2,300,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2022Q3,"1,200,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2022Q4,"1,100,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2023Q1,"923,300"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2023Q2,"1,100,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2023Q3,"750,100"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2023Q4,"953,600"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2024Q1,"511,800"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2024Q2,"725,200"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2024Q3,"1,500,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2024Q4,"1,200,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2025Q1,"886,200"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2025Q2,"631,000"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2025Q3,"379,200"
Facebook,Dangerous Organizations: Organized Hate,Content Actioned,2025Q4,"436,100"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2017Q4,"1,100,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2018Q1,"1,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2018Q2,"9,400,000"
