Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2025,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-8,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,2,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,2,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,2,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2023,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Court Action,-39,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2020,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-77,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2026,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-2,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2024,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Pacific Island,Pacific Island,Court Action,-25,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-23,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-34,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-21,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,3,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-20,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-28,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-16,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-37,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,2,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.F.D.",-13,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-23,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-21,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-32,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-20,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-31,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Non-Court Referred Conference,-17,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2015,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Formal Warning,-54,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,6
