Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,2,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2014,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2016,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,2,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2014,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2022,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-46,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2016,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2022,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-46,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,70-74,70 - 74 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2015,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2015,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2017,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2015,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,2,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2015,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2016,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2018,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.F.D.",-96,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2018,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-96,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2016,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2015,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2017,2,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-81,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2017,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2017,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-78,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2019,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-87,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2017,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2018,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",-94,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2018,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",-93,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2015,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,"Non-Court Action, N.F.D.",,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2022,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-46,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2021,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-58,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-45,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-45,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2025,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-9,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-45,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2015,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2015,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Other Ethnicities,African,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2021,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Other Ethnicities,African,Court Action,-61,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2022,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Other Ethnicities,Not Elsewhere Classified,Court Action,-48,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2021,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,Other Ethnicities,Not Elsewhere Classified,Court Action,-64,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-35,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-23,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2023,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Court Action,-30,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,Asian,Asian,Court Action,-26,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,2,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,3,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,2,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2016,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2016,3,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2014,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2015,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Not Proceeded With,-78,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2019,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Not Proceeded With,-85,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-81,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-80,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Not Proceeded With,-92,Not Proceeded With,Deceased,Not Proceeded With,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2020,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-72,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2020,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-72,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2020,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-72,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2021,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-59,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2025,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",-9,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2020,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Not Proceeded With,-71,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-45,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-66,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2021,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Not Proceeded With,-64,Not Proceeded With,Custody Clearance,Not Proceeded With,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.E.C.",-14,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Female,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-19,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Female,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,"Non-Court Action, N.F.D.",-27,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Female,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,"Non-Court Action, N.F.D.",-26,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Female,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Non-Court Referred Conference,-35,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Female,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,2,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Non-Court Referred Conference,-35,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Female,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Formal Warning,-23,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-32,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-31,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-15,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,Formal Warning,-23,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,1
