country,entity,data_year,age,age_group,group_rank,sex,ethnicity,activity,count
Germany,Suspect,2023,44,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,44,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,44,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,44,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,45,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,45,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,45,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,45,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,46,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,46,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,46,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,46,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,47,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,47,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,47,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,47,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,48,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,48,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,48,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,48,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,49,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,49,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,49,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,49,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,50,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,50,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,50,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,50,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,51,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,51,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,51,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,51,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,52,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,52,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,52,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,52,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,53,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,53,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,53,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,53,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,54,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,54,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,54,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,54,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,55,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,55,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,55,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,55,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,56,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,56,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,56,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,56,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,57,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,57,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,57,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,57,Adult,3,Male,,Producer,176.7
