Region (NUTS2);Criminal typology;Age group;Sex;period;Total
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2015;6
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2014;4
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2013;1
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2012;8
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2011;10
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2010;3
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2024;220
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2023;233
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2022;204
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2021;199
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2020;196
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2019;183
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2018;241
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2017;190
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2016;188
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2015;152
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2014;171
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2013;128
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2012;246
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2011;192
TOTAL;3.4.-Pornography of minors;41-64 years;Total;2010;189
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2024;41
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2023;37
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2022;25
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2021;25
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2020;33
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2019;29
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2018;27
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2017;22
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2016;11
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2015;13
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2014;24
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2013;15
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2012;20
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2011;23
TOTAL;3.4.-Pornography of minors;Over 64 years;Male;2010;14
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2024;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2023;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2022;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2021;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2020;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2019;2
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2018;1
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2017;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2016;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2015;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2014;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2013;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2012;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2011;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Female;2010;0
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2024;41
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2023;37
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2022;25
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2021;25
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2020;33
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2019;31
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2018;28
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2017;22
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2016;11
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2015;13
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2014;24
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2013;15
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2012;20
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2011;23
TOTAL;3.4.-Pornography of minors;Over 64 years;Total;2010;14
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2024;585
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2023;622
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2022;446
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2021;451
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2020;424
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2019;568
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2018;620
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2017;403
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2016;406
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2015;440
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2014;413
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2013;344
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2012;476
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2011;424
TOTAL;3.4.-Pornography of minors;TOTAL;Male;2010;477
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2024;31
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2023;22
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2022;13
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2021;16
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2020;26
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2019;29
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2018;29
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2017;38
