
"Year","Suspect's sex","Suspect's age","ICCS offence category","Persons suspected of solved offences","Number of offence headings for suspects of solved offences"
"2021","Females","18 -","030221  Child pornography",23,23
"2021","Females","18 - 29","030221  Child pornography",19,19
"2021","Females","30 - 49","030221  Child pornography",3,3
"2021","Females","50 -","030221  Child pornography",1,1
"2021","Females","Unknown","030221  Child pornography",0,0
"2021","Unknown","Total","030221  Child pornography",0,0
"2021","Unknown","0 - 14","030221  Child pornography",0,0
"2021","Unknown","0 - 17","030221  Child pornography",0,0
"2021","Unknown","18 -","030221  Child pornography",0,0
"2021","Unknown","18 - 29","030221  Child pornography",0,0
"2021","Unknown","30 - 49","030221  Child pornography",0,0
"2021","Unknown","50 -","030221  Child pornography",0,0
"2021","Unknown","Unknown","030221  Child pornography",0,0
"2022","Total","Total","030221  Child pornography",454,451
"2022","Total","0 - 14","030221  Child pornography",62,62
"2022","Total","0 - 17","030221  Child pornography",124,123
"2022","Total","18 -","030221  Child pornography",329,327
"2022","Total","18 - 29","030221  Child pornography",216,215
"2022","Total","30 - 49","030221  Child pornography",83,82
"2022","Total","50 -","030221  Child pornography",30,30
"2022","Total","Unknown","030221  Child pornography",1,1
"2022","Males","Total","030221  Child pornography",435,432
"2022","Males","0 - 14","030221  Child pornography",49,49
"2022","Males","0 - 17","030221  Child pornography",108,107
"2022","Males","18 -","030221  Child pornography",326,324
"2022","Males","18 - 29","030221  Child pornography",215,214
"2022","Males","30 - 49","030221  Child pornography",82,81
"2022","Males","50 -","030221  Child pornography",29,29
"2022","Males","Unknown","030221  Child pornography",1,1
"2022","Females","Total","030221  Child pornography",19,19
"2022","Females","0 - 14","030221  Child pornography",13,13
"2022","Females","0 - 17","030221  Child pornography",16,16
"2022","Females","18 -","030221  Child pornography",3,3
"2022","Females","18 - 29","030221  Child pornography",1,1
"2022","Females","30 - 49","030221  Child pornography",1,1
"2022","Females","50 -","030221  Child pornography",1,1
"2022","Females","Unknown","030221  Child pornography",0,0
"2022","Unknown","Total","030221  Child pornography",0,0
"2022","Unknown","0 - 14","030221  Child pornography",0,0
"2022","Unknown","0 - 17","030221  Child pornography",0,0
"2022","Unknown","18 -","030221  Child pornography",0,0
"2022","Unknown","18 - 29","030221  Child pornography",0,0
"2022","Unknown","30 - 49","030221  Child pornography",0,0
"2022","Unknown","50 -","030221  Child pornography",0,0
"2022","Unknown","Unknown","030221  Child pornography",0,0
"2023","Total","Total","030221  Child pornography",458,452
"2023","Total","0 - 14","030221  Child pornography",146,146
"2023","Total","0 - 17","030221  Child pornography",208,208
"2023","Total","18 -","030221  Child pornography",250,244
"2023","Total","18 - 29","030221  Child pornography",151,147
"2023","Total","30 - 49","030221  Child pornography",67,67
"2023","Total","50 -","030221  Child pornography",32,30
"2023","Total","Unknown","030221  Child pornography",0,0
"2023","Males","Total","030221  Child pornography",416,410
"2023","Males","0 - 14","030221  Child pornography",114,114
"2023","Males","0 - 17","030221  Child pornography",171,171
"2023","Males","18 -","030221  Child pornography",245,239
"2023","Males","18 - 29","030221  Child pornography",149,145
"2023","Males","30 - 49","030221  Child pornography",66,66
"2023","Males","50 -","030221  Child pornography",30,28
"2023","Males","Unknown","030221  Child pornography",0,0
"2023","Females","Total","030221  Child pornography",42,42
"2023","Females","0 - 14","030221  Child pornography",32,32
"2023","Females","0 - 17","030221  Child pornography",37,37
"2023","Females","18 -","030221  Child pornography",5,5
"2023","Females","18 - 29","030221  Child pornography",2,2
"2023","Females","30 - 49","030221  Child pornography",1,1
"2023","Females","50 -","030221  Child pornography",2,2
"2023","Females","Unknown","030221  Child pornography",0,0
"2023","Unknown","Total","030221  Child pornography",0,0
"2023","Unknown","0 - 14","030221  Child pornography",0,0
"2023","Unknown","0 - 17","030221  Child pornography",0,0
"2023","Unknown","18 -","030221  Child pornography",0,0
"2023","Unknown","18 - 29","030221  Child pornography",0,0
"2023","Unknown","30 - 49","030221  Child pornography",0,0
"2023","Unknown","50 -","030221  Child pornography",0,0
"2023","Unknown","Unknown","030221  Child pornography",0,0
"2024","Total","Total","030221  Child pornography",694,691
"2024","Total","0 - 14","030221  Child pornography",249,246
"2024","Total","0 - 17","030221  Child pornography",367,364
"2024","Total","18 -","030221  Child pornography",327,327
"2024","Total","18 - 29","030221  Child pornography",147,147
"2024","Total","30 - 49","030221  Child pornography",138,138
"2024","Total","50 -","030221  Child pornography",42,42
"2024","Total","Unknown","030221  Child pornography",0,0
"2024","Males","Total","030221  Child pornography",605,602
"2024","Males","0 - 14","030221  Child pornography",193,190
"2024","Males","0 - 17","030221  Child pornography",290,287
"2024","Males","18 -","030221  Child pornography",315,315
"2024","Males","18 - 29","030221  Child pornography",141,141
"2024","Males","30 - 49","030221  Child pornography",132,132
"2024","Males","50 -","030221  Child pornography",42,42
"2024","Males","Unknown","030221  Child pornography",0,0
"2024","Females","Total","030221  Child pornography",89,89
"2024","Females","0 - 14","030221  Child pornography",56,56
"2024","Females","0 - 17","030221  Child pornography",77,77
"2024","Females","18 -","030221  Child pornography",12,12
"2024","Females","18 - 29","030221  Child pornography",6,6
"2024","Females","30 - 49","030221  Child pornography",6,6
"2024","Females","50 -","030221  Child pornography",0,0
"2024","Females","Unknown","030221  Child pornography",0,0
"2024","Unknown","Total","030221  Child pornography",0,0
"2024","Unknown","0 - 14","030221  Child pornography",0,0
"2024","Unknown","0 - 17","030221  Child pornography",0,0
"2024","Unknown","18 -","030221  Child pornography",0,0
"2024","Unknown","18 - 29","030221  Child pornography",0,0
"2024","Unknown","30 - 49","030221  Child pornography",0,0
"2024","Unknown","50 -","030221  Child pornography",0,0
"2024","Unknown","Unknown","030221  Child pornography",0,0
"2025","Total","Total","030221  Child pornography",1920,963
"2025","Total","0 - 14","030221  Child pornography",307,304
"2025","Total","0 - 17","030221  Child pornography",467,464
"2025","Total","18 -","030221  Child pornography",1453,499
"2025","Total","18 - 29","030221  Child pornography",1181,238
"2025","Total","30 - 49","030221  Child pornography",214,209
"2025","Total","50 -","030221  Child pornography",58,52
"2025","Total","Unknown","030221  Child pornography",0,0
"2025","Males","Total","030221  Child pornography",1828,873
"2025","Males","0 - 14","030221  Child pornography",237,236
"2025","Males","0 - 17","030221  Child pornography",384,383
"2025","Males","18 -","030221  Child pornography",1444,490
"2025","Males","18 - 29","030221  Child pornography",1177,234
"2025","Males","30 - 49","030221  Child pornography",210,205
"2025","Males","50 -","030221  Child pornography",57,51
"2025","Males","Unknown","030221  Child pornography",0,0
"2025","Females","Total","030221  Child pornography",92,90
"2025","Females","0 - 14","030221  Child pornography",70,68
"2025","Females","0 - 17","030221  Child pornography",83,81
"2025","Females","18 -","030221  Child pornography",9,9
"2025","Females","18 - 29","030221  Child pornography",4,4
"2025","Females","30 - 49","030221  Child pornography",4,4
"2025","Females","50 -","030221  Child pornography",1,1
"2025","Females","Unknown","030221  Child pornography",0,0
"2025","Unknown","Total","030221  Child pornography",0,0
"2025","Unknown","0 - 14","030221  Child pornography",0,0
"2025","Unknown","0 - 17","030221  Child pornography",0,0
"2025","Unknown","18 -","030221  Child pornography",0,0
"2025","Unknown","18 - 29","030221  Child pornography",0,0
"2025","Unknown","30 - 49","030221  Child pornography",0,0
"2025","Unknown","50 -","030221  Child pornography",0,0
"2025","Unknown","Unknown","030221  Child pornography",0,0
