rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
80,0.0010866785988238301,0.001954254620195588,0.001319034338590441,0.0019322123140986702,0.002040999364897392,0.0044857247762984664,0.0021499537425897514,0.0038083626886029932,0.001602447374171462,0.0030509642214598485
81,0.001092088420177949,0.0019825051593897374,0.0013271400132714001,0.0020109593515529956,0.0020488812707642385,0.004642140493938533,0.002154387689776624,0.0038811997714330413,0.0016085594284684932,0.003108389718759024
82,0.0011092841467788789,0.002010946924742658,0.0013366382748161364,0.0020341905217248625,0.0020515846144562966,0.0046959979165909615,0.002161837214813787,0.003898726675867662,0.0016120571382455008,0.003145593544138046
83,0.001115316220614487,0.0020193264796891596,0.0013622169653311374,0.002062785721852091,0.0020967587413671164,0.00476598989610142,0.002186277304985559,0.0039047524102321053,0.001666232741523133,0.003180325259444691
84,0.0011221367569615225,0.002025961832883153,0.0013815318045805492,0.0020760536962479976,0.002096904381653876,0.0047824850842748,0.00220331521363553,0.003952725404166173,0.0016846380845055259,0.0031889508624945583
85,0.0011356520825187072,0.002035282144110999,0.0013943307601828989,0.0020786529673691785,0.002428549479152075,0.004848211060440038,0.0023014959723820483,0.003965554661742392,0.0017031464082102913,0.003221061106154109
86,0.0011381959594043442,0.0020589301093233065,0.0014076228189580497,0.0020801198644249375,0.002444208604251429,0.004912561993112215,0.002351325777787264,0.004006624046391188,0.0017199129861319962,0.0032284081746940625
87,0.0011615883372630208,0.0020768253629975266,0.0014247890117658096,0.00212876558357777,0.0025343453986575496,0.004939528341889662,0.0023856236274599706,0.004031661266043572,0.0017413890827669232,0.0032301295419425516
88,0.0012014612584655905,0.002081699578254588,0.001425891181988743,0.0021829388510868314,0.0025955723638439445,0.004956294378226457,0.0024097839402214137,0.004046649778648257,0.0017878316485991173,0.0032451329919122073
89,0.0012452955419577502,0.002136691853543287,0.0014302714083024395,0.002188511438636174,0.0027539618629571733,0.004983912602458558,0.0024392486977331046,0.004057432666631817,0.0018231046931407942,0.003282424337339672
